timetable_id,stop_id,stop_sequence,stop_name,connected_routes
4166,607,4,Donner Pass Rd at Tri-Counties Bank Plaza,TLR/Truckee Local
4166,608,5,Donner Pass Rd at Truckee High School EB,TLR/Truckee Local
4166,610,6,Donner Pass Rd at Westgate Center (Wild Cherries),TLR/Truckee Local
4166,3045,7,Deerfield Dr at Crossroads Center (Post Office),TLR/Truckee Local
4166,611,8,Donner Pass Rd at Grocery Outlet/Vista Ave,"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4166,612,9,Donner Pass Rd at Tahoe Forest Cancer Center,"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4166,2227,10,Truckee Depot - Arrive,"Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4166,638,11,Roundhouse Way at Artist Loft Apts,TLR/Truckee Local
4166,640,12,Truckee Way and Stockrest Springs Rd (Coburn Crossing Apts),TLR/Truckee Local
4166,613,13,Donner Pass Rd at Recreation Center,TLR/Truckee Local
4166,614,14,Edwin Rd at Henness Rd (Bus Shelter),TLR/Truckee Local
4167,614,1,Edwin Rd at Henness Rd (Bus Shelter),TLR/Truckee Local
4167,636,2,Truckee Way at Rue Ivy,TLR/Truckee Local
4167,637,3,Truckee Way at Coburn Crossing Apts,TLR/Truckee Local
4167,633,4,Brockway Rd and Palisades Dr,"Hwy267/Highway 267 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM"
4167,634,5,Brockway at Cedar House Sport Hotel,"Hwy267/Highway 267 AM/PM, TLR/Truckee Local"
4167,639,6,Brockway Rd at Village Green MHP,TLR/Truckee Local
4167,615,7,Brockway Rd at The Rock (Fifty-Fifty),"Hwy267/Highway 267 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM"
4167,616,8,Reynold Way,"Hwy267/Highway 267 AM/PM, TLR/Truckee Local"
4167,617,9,Estates Dr at Senior Apartments,TLR/Truckee Local
4167,618,10,Brockway Rd at Regional Park (Bus Shelter),"Hwy267/Highway 267 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM"
4167,2227,11,Truckee Depot - Arrive,"Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4167,600,12,Truckee Depot - Depart,"DSR/Donner Summit Shuttle, Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4167,619,13,Donner Pass Rd at Tahoe Forest Medical Offices,"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4167,620,14,Donner Pass Rd at Gateway Center (Safeway Bus Shelter),"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4167,622,15,Donner Pass Rd at Meadow Way (7-11),TLR/Truckee Local
4167,624,16,Donner Pass Rd at Northwoods Blvd,TLR/Truckee Local
4167,625,17,Donner Pass Rd at Highway Rd,TLR/Truckee Local
4167,626,18,Donner Pass Rd at Donner Memorial State Park,TLR/Truckee Local
4167,629,19,Donner Pass Rd at Moraine Rd (Sticks Market),TLR/Truckee Local
4167,632,20,Donner Pass Rd at South Shore Dr (Bus Shelter),TLR/Truckee Local
6131,2504928,1,Hwy 28 at Center St ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2468,2,Cedar Glen Lodge,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2475,3,Ferraris Crown Motel Kings Beach ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2480,4,Tahoe Biltmore Lodge & Casino ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,4380,5,Parkside Inn ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2483,6,Incline Village Recreation Center ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2504930,7,Lakeshore Dr at Country Club Dr (Hyatt) - Depart ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6131,2463,8,Reno Tahoe International Airport ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village, Green/Truckee, Northstar, Red/Squaw Valley, Tahoe City, West Shore"
6142,2463,1,Reno Tahoe International Airport ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village, Green/Truckee, Northstar, Red/Squaw Valley, Tahoe City, West Shore"
6142,2504930,2,Lakeshore Dr at Country Club Dr (Hyatt) - Depart ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,2483,3,Incline Village Recreation Center ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,4380,4,Parkside Inn ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,2480,5,Tahoe Biltmore Lodge & Casino ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,2504929,6,Hwy 28 at KB State Beach ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,2467,7,Holiday House ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6142,2504928,8,Hwy 28 at Center St ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village"
6145,2446,1,Sunnyside Resort,"Red/Squaw Valley, Tahoe City, West Shore"
6145,2504934,2,Granlibakken Resort ,"Red/Squaw Valley, Tahoe City, West Shore"
6145,2504931,3,Tahoe City Transit Center - Depart ,"Red/Squaw Valley, Tahoe City, West Shore"
6145,2454,4,River Ranch Restaurant & Lodge Tahoe City ,"Red/Squaw Valley, Tahoe City, West Shore"
6145,4689,5,The Villiage at Squaw Valley ,"Red/Squaw Valley, Tahoe City, West Shore"
6145,2462,6,Resort at Squaw Creek,"Red/Squaw Valley, Tahoe City, West Shore"
6145,2463,7,Reno Tahoe International Airport ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village, Green/Truckee, Northstar, Red/Squaw Valley, Tahoe City, West Shore"
6146,2463,1,Reno Tahoe International Airport ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village, Green/Truckee, Northstar, Red/Squaw Valley, Tahoe City, West Shore"
6146,2462,2,Resort at Squaw Creek,"Red/Squaw Valley, Tahoe City, West Shore"
6146,4689,3,The Villiage at Squaw Valley ,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2457,4,Olympic Villiage Inn ,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2455,5,Squaw Valley Lodge ,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2458,6,Christy Inn - CALL FOR PICKUP,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2454,7,River Ranch Restaurant & Lodge Tahoe City ,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2504934,8,Granlibakken Resort ,"Red/Squaw Valley, Tahoe City, West Shore"
6146,2446,9,Sunnyside Resort,"Red/Squaw Valley, Tahoe City, West Shore"
6147,2504925,1,Sawmill Heights (Employee Housing) ,"Green/Truckee, Northstar"
6147,13593,2,Ritz Carlton Highlands Court,"Green/Truckee, Northstar"
6147,2504924,3,Northstar Village Gate # 7 ,"Green/Truckee, Northstar"
6147,4690,4,Northstar Resort - 100 Northstar Drive ,"Green/Truckee, Northstar"
6147,2504932,5,Truckee Tahoe Airport ,"Green/Truckee, Northstar"
6147,2504933,6,Cedar House Sports Hotel ,"Green/Truckee, Northstar"
6147,2504936,7,Truckee Depot - Arrive,"Green/Truckee, Northstar"
6147,2463,8,Reno Tahoe International Airport ,"Blue/Carnelian Bay Tahoe Vista, Kings Beach, Crystal Bay, Incline Village, Green/Truckee, Northstar, Red/Squaw Valley, Tahoe City, West Shore"
