route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
Hwy267,c_17881_b_81456_d_127,t_1249723_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,502,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy267,c_17881_b_81456_d_127,t_1249722_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,501,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy267,c_17881_b_81456_d_127,t_1249721_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,502,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy267,c_17881_b_81456_d_127,t_1249720_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,501,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy267,c_17881_b_81456_d_127,t_1249719_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,502,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy267,c_17881_b_81456_d_127,t_1249716_b_81456_tn_0,,Truckee Depot to Crystal Bay,1,501,p_375051,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729845_b_81456_tn_0,,Tahoe City to Truckee Depot,0,402,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249794_b_81456_tn_0,,Tahoe City to Truckee Depot,0,402,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249795_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729836_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249579_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249786_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249787_b_81456_tn_0,,Tahoe City to Truckee Depot,0,402,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249788_b_81456_tn_0,,Tahoe City to Truckee Depot,0,402,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249791_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249792_b_81456_tn_0,,Tahoe City to Truckee Depot,0,402,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249793_b_81456_tn_0,,Tahoe City to Truckee Depot,0,401,p_180474,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729844_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729843_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249805_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729838_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249804_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_5729837_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249803_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249800_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249799_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249798_b_81456_tn_0,,Truckee Depot to Tahoe City,1,401,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249824_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
Hwy89,c_17881_b_81456_d_127,t_1249806_b_81456_tn_0,,Truckee Depot to Tahoe City,1,402,p_180478,,,,1.0t+0.00,1.0t+0.00,,,,,,,
ML,c_17881_b_81456_d_127,t_1249607_b_81456_tn_0,,Incline to Tahoma,0,103,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249608_b_81456_tn_0,,Incline to Tahoma,0,101,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729849_b_81456_tn_0,,Incline to Tahoe City,0,402,p_375031,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249826_b_81456_tn_0,,Tahoe City to Tahoma,0,102,p_375042,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5582565_b_81456_tn_0,,Incline to Tahoma,0,103,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5619245_b_81456_tn_0,,Incline to Tahoma,0,103,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729199_b_81456_tn_0,,Crystal Bay to Tahoe City,0,101,p_375040,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729200_b_81456_tn_0,,Tahoe City to Tahoma,0,101,p_375042,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5582564_b_81456_tn_0,,Crystal Bay to Tahoe City,0,102,p_375040,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729842_b_81456_tn_0,,Incline to Crystal Bay,0,401,p_375054,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729825_b_81456_tn_0,,Incline to Tahoe City,0,102,p_787782,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729823_b_81456_tn_0,,Incline to Tahoma,0,102,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249600_b_81456_tn_0,,Incline to Tahoma,0,101,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249602_b_81456_tn_0,,Incline to Tahoma,0,102,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249604_b_81456_tn_0,,Incline to Tahoma,0,101,p_787781,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729835_b_81456_tn_0,,Tahoma to Crystal Bay,1,103,p_899603,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729839_b_81456_tn_0,,Tahoe City to Incline,1,401,p_375045,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249591_b_81456_tn_0,,Tahoma to Incline,1,103,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729824_b_81456_tn_0,,Tahoma to Incline,1,102,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5729822_b_81456_tn_0,,Tahoma to Incline,1,102,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5620214_b_81456_tn_0,,Tahoe City to Incline,1,402,p_375045,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_5619244_b_81456_tn_0,,Tahoma to Incline,1,101,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249610_b_81456_tn_0,,Tahoma to Incline,1,101,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249590_b_81456_tn_0,,Tahoma to Incline,1,102,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249599_b_81456_tn_0,,Tahoma to Incline,1,101,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249597_b_81456_tn_0,,Tahoe City to Incline,1,103,p_787780,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249595_b_81456_tn_0,,Tahoma to Incline,1,101,p_787774,,,,,,,,,,,,
ML,c_17881_b_81456_d_127,t_1249594_b_81456_tn_0,,Tahoma to Incline,1,103,p_787774,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249692_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249687_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249691_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249689_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249685_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249587_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249684_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249688_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249695_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249686_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249694_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249693_b_81456_tn_0,,Henness Rd to Donner Pass,0,10,p_1274591,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249758_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249588_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249750_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249749_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249751_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249752_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249753_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249754_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249755_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249756_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249757_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
TLR,c_17881_b_81456_d_127,t_1249759_b_81456_tn_0,,Donner Pass Rd to Henness Rd,1,10,p_1274596,,,,,,,,,,,,
